character,word,freq
Dwight,word,17
Dwight,worry,17
Erin,coming,17
Jim,care,17
Jim,couple,17
Jim,head,17
Jim,heard,17
Jim,leaving,17
Jim,philly,17
Jim,ready,17
Michael,300,17
Michael,act,17
Michael,assistant,17
Michael,bitch,17
Michael,building,17
Michael,card,17
Michael,chance,17
Michael,died,17
Michael,donna,17
Michael,earlier,17
Michael,ed,17
Michael,entire,17
Michael,everybody's,17
Michael,expect,17
Michael,fast,17
Michael,luck,17
Michael,machine,17
Michael,piece,17
Michael,power,17
Michael,presentation,17
Michael,pull,17
Michael,rabies,17
Michael,rock,17
Michael,roll,17
Michael,sign,17
Michael,single,17
Michael,smell,17
Michael,sold,17
Michael,style,17
Michael,talked,17
Michael,telling,17
Michael,white,17
Michael,worried,17
Oscar,call,17
Pam,company,17
Pam,dad,17
Pam,erin,17
Pam,kidding,17
Pam,yep,17
Andy,da,16
Andy,david,16
Andy,fire,16
Andy,fun,16
Andy,gabe,16
Andy,ha,16
Andy,hate,16
Andy,heard,16
Andy,idea,16
Andy,jessica,16
Andy,minute,16
Andy,person,16
Andy,question,16
Andy,team,16
Andy,thinking,16
Angela,baby,16
Angela,time,16
Dwight,anymore,16
Dwight,calling,16
Dwight,client,16
Dwight,cut,16
Dwight,decision,16
Dwight,free,16
Dwight,happy,16
Dwight,hot,16
Dwight,house,16
Dwight,inside,16
Dwight,knock,16
Dwight,lunch,16
Dwight,lying,16
Dwight,seat,16
Dwight,security,16
Dwight,sensei,16
Dwight,shh,16
Dwight,sit,16
Dwight,son,16
Dwight,top,16
Dwight,week,16
Dwight,win,16
Jim,amazing,16
Jim,buy,16
Jim,fight,16
Jim,makes,16
Jim,movie,16
Jim,reason,16
Jim,regional,16
Jim,stupid,16
Jim,ten,16
Jim,terrible,16
Jim,wedding,16
Kevin,call,16
Kevin,day,16
Kevin,hot,16
Michael,america,16
Michael,bag,16
Michael,celebrate,16
Michael,character,16
Michael,clean,16
Michael,client,16
Michael,college,16
Michael,daddy,16
Michael,drink,16
Michael,forward,16
Michael,future,16
Michael,glad,16
Michael,hang,16
Michael,jo,16
Michael,josh,16
Michael,jump,16
Michael,list,16
Michael,luke,16
Michael,magic,16
Michael,mmhmm,16
Michael,month,16
Michael,mouth,16
Michael,pam's,16
Michael,toilet,16
Michael,tv,16
Michael,wear,16
Oscar,jim,16
Pam,car,16
Pam,dating,16
Pam,excited,16
Pam,hard,16
Pam,hours,16
Pam,kids,16
Pam,money,16
Pam,move,16
Pam,mural,16
Pam,play,16
Pam,read,16
Pam,real,16
Pam,set,16
Pam,stanley,16
Andy,christmas,15
Andy,days,15
Andy,em,15
Andy,excuse,15
Andy,family,15
Andy,funny,15
Andy,game,15
Andy,gay,15
Andy,money,15
Andy,morning,15
Andy,phone,15
Andy,pizza,15
Andy,song,15
Andy,super,15
Andy,TRUE,15
Angela,call,15
Dwight,ahh,15
Dwight,animal,15
Dwight,belt,15
Dwight,bye,15
Dwight,children,15
Dwight,eyes,15
Dwight,fall,15
Dwight,game,15
Dwight,garbage,15
Dwight,ground,15
Dwight,handle,15
Dwight,happened,15
Dwight,hell,15
Dwight,hope,15
Dwight,human,15
Dwight,impossible,15
Dwight,kid,15
Dwight,kids,15
Dwight,male,15
Dwight,mmm,15
Dwight,mother,15
Dwight,position,15
Dwight,read,15
Dwight,sense,15
Dwight,sick,15
Dwight,special,15
Dwight,trust,15
Erin,erin,15
Erin,lot,15
Erin,party,15
Jim,chance,15
Jim,check,15
Jim,christmas,15
Jim,conference,15
Jim,dating,15
Jim,days,15
Jim,found,15
Jim,honest,15
Jim,hospital,15
Jim,house,15
Jim,kids,15
Jim,lost,15
Jim,raise,15
Jim,sale,15
Jim,start,15
Kevin,god,15
Kevin,ooh,15
Michael,ass,15
Michael,basically,15
Michael,blow,15
Michael,bob,15
Michael,book,15
Michael,bought,15
Michael,breakfast,15
Michael,china,15
Michael,classic,15
Michael,condo,15
Michael,conversation,15
Michael,dinner,15
Michael,dogs,15
Michael,eating,15
Michael,employee,15
Michael,history,15
Michael,horrible,15
Michael,hundred,15
Michael,imagine,15
Michael,laugh,15
Michael,literally,15
Michael,loves,15
Michael,moving,15
Michael,road,15
Michael,sad,15
Michael,sale,15
Michael,screwed,15
Michael,stick,15
Michael,takes,15
Michael,tape,15
Michael,trust,15
Michael,watching,15
Oscar,senator,15
Pam,check,15
Pam,christmas,15
Pam,makes,15
Pam,married,15
Pam,miss,15
Pam,perfect,15
Pam,question,15
Pam,telling,15
Andy,andrew,14
Andy,boat,14
Andy,computer,14
Andy,girl,14
Andy,hope,14
Andy,lady,14
Andy,left,14
Andy,mm,14
Andy,music,14
Andy,news,14
Andy,pay,14
Andy,scranton,14
Andy,sounds,14
Andy,stupid,14
Andy,taking,14
Andy,terrible,14
Andy,twenty,14
Andy,week,14
Andy,word,14
Angela,bad,14
Angela,hmm,14
Angela,sprinkles,14
Angela,talk,14
Angela,ugh,14
Angela,wait,14
Creed,creed,14
Dwight,answer,14
Dwight,belsnickel,14
Dwight,birthday,14
Dwight,blah,14
Dwight,box,14
Dwight,brought,14
Dwight,busy,14
Dwight,chance,14
Dwight,change,14
Dwight,charge,14
Dwight,close,14
Dwight,computer,14
Dwight,doctor,14
Dwight,farms,14
Dwight,gabe,14
Dwight,gift,14
Dwight,heart,14
Dwight,hero,14
Dwight,interview,14
Dwight,learn,14
Dwight,nellie,14
Dwight,pen1s,14
Dwight,sabre,14
Dwight,sell,14
Dwight,sir,14
Dwight,sounds,14
Dwight,stuff,14
Dwight,warehouse,14
Dwight,white,14
Dwight,worth,14
Erin,day,14
Erin,fun,14
Erin,nice,14
Erin,pete,14
Erin,talk,14
Jim,change,14
Jim,decided,14
Jim,dinner,14
Jim,dunder,14
Jim,dwight's,14
Jim,happen,14
Jim,hour,14
Jim,kinda,14
Jim,mmm,14
Jim,oscar,14
Jim,prank,14
Jim,scranton,14
Jim,stay,14
Jim,talked,14
Jim,toby,14
Jim,understand,14
Jim,win,14
Kevin,love,14
Kevin,party,14
Michael,accounting,14
Michael,advice,14
Michael,angry,14
Michael,captain,14
Michael,cares,14
Michael,completely,14
Michael,congratulations,14
Michael,control,14
Michael,difference,14
Michael,drop,14
Michael,engaged,14
Michael,feet,14
Michael,frankly,14
Michael,golden,14
Michael,grab,14
Michael,hired,14
Michael,hr,14
Michael,insane,14
Michael,jerk,14
Michael,lame,14
Michael,looked,14
Michael,million,14
Michael,quit,14
Michael,ridiculous,14
Michael,share,14
Michael,shoot,14
Michael,steal,14
Michael,ticket,14
Michael,todd,14
Michael,treat,14
Michael,video,14
Michael,walking,14
Michael,weight,14
Michael,wha,14
Michael,wrote,14
Oscar,dollars,14
Oscar,wrong,14
Pam,awesome,14
Pam,bathroom,14
Pam,building,14
Pam,buy,14
Pam,care,14
Pam,computer,14
Pam,conference,14
Pam,darryl,14
Pam,date,14
Pam,days,14
Pam,eat,14
Pam,family,14
